id,dialect,text,audio_path,duration,aldi_score
11175_4,Algeria,مدهالله خير,"01 - Sultan Achour 10, S2 EP 01 Retour de Pnipen _ سلطان عاشور 10، موسم 2 الحلقة 01 عودة بنيبن_100.49906250000001_108.1771875_11175_4.wav",0.9225402725,0.15310831367969513
11175_6,Algeria,هاوترييي,"01 - Sultan Achour 10, S2 EP 01 Retour de Pnipen _ سلطان عاشور 10، موسم 2 الحلقة 01 عودة بنيبن_100.49906250000001_108.1771875_11175_6.wav",1.69327012,0.6266195774078369
11176_2,Algeria,فهمت,"01 - Sultan Achour 10, S2 EP 01 Retour de Pnipen _ سلطان عاشور 10، موسم 2 الحلقة 01 عودة بنيبن_1002.9234375000001_1006.5684375000001_11176_2.wav",0.2550114068,0.15085679292678833
11177_2,Algeria,حبيتك تعاوني بش نحبسو الزواج,"01 - Sultan Achour 10, S2 EP 01 Retour de Pnipen _ سلطان عاشور 10، موسم 2 الحلقة 01 عودة بنيبن_1013.5378125000001_1017.4696875000001_11177_2.wav",1.773081274,0.8609127998352051
11178_2,Algeria,بش تسلك باباها,"01 - Sultan Achour 10, S2 EP 01 Retour de Pnipen _ سلطان عاشور 10، موسم 2 الحلقة 01 عودة بنيبن_1026.8521875000001_1033.1296875000003_11178_2.wav",1.312785171,0.6250625252723694
11179_1,Algeria,اليوم عبلة راهي في الاحتياج لينا,"01 - Sultan Achour 10, S2 EP 01 Retour de Pnipen _ سلطان عاشور 10، موسم 2 الحلقة 01 عودة بنيبن_1036.9434375_1041.4490625000003_11179_1.wav",1.637778549,0.5050960779190063
11183_2,Algeria, واش بيك بنيبن هبلت حبيت تقتل بابا ,"01 - Sultan Achour 10, S2 EP 01 Retour de Pnipen _ سلطان عاشور 10، موسم 2 الحلقة 01 عودة بنيبن_120.1921875_132.1565625_11183_2.wav",2.831514528,0.9924638867378235
11186_3,Algeria,للطف يا ربي  مايلقاولهاش راجل باهي,"01 - Sultan Achour 10, S2 EP 01 Retour de Pnipen _ سلطان عاشور 10، موسم 2 الحلقة 01 عودة بنيبن_1222.5346875_1232.6090625000002_11186_3.wav",2.315314963,0.9557610154151917
11186_4,Algeria,من رجال الدنيا الكل لقاولها الامير بنيبن علاه,"01 - Sultan Achour 10, S2 EP 01 Retour de Pnipen _ سلطان عاشور 10، موسم 2 الحلقة 01 عودة بنيبن_1222.5346875_1232.6090625000002_11186_4.wav",3.417845898,0.40629568696022034
11187_3,Algeria,نورية كل شي راه  واجد مايخص والو,"01 - Sultan Achour 10, S2 EP 01 Retour de Pnipen _ سلطان عاشور 10، موسم 2 الحلقة 01 عودة بنيبن_1240.4390625_1244.7928125000003_11187_3.wav",2.05090755,0.810256838798523
11189_1,Algeria,نفكر في موقف الأمير لقمان في هاذ الموضوع,"01 - Sultan Achour 10, S2 EP 01 Retour de Pnipen _ سلطان عاشور 10، موسم 2 الحلقة 01 عودة بنيبن_1262.7140625000002_1267.4390625_11189_1.wav",4.718570967,0.22749276459217072
11190_5,Algeria,و هذا وين تهدر,"01 - Sultan Achour 10, S2 EP 01 Retour de Pnipen _ سلطان عاشور 10، موسم 2 الحلقة 01 عودة بنيبن_1274.3240625000003_1291.3003125_11190_5.wav",1.114718632,0.6673264503479004
11195_2,Algeria,اه مولاتي سمحلي عند بالي,"01 - Sultan Achour 10, S2 EP 01 Retour de Pnipen _ سلطان عاشور 10، موسم 2 الحلقة 01 عودة بنيبن_1330.3659375000002_1336.2890625_11195_2.wav",2.554548486,0.7036420702934265
11196_1,Algeria,مانحوسش نفهم,"01 - Sultan Achour 10, S2 EP 01 Retour de Pnipen _ سلطان عاشور 10، موسم 2 الحلقة 01 عودة بنيبن_1340.0859375_1344.9121875_11196_1.wav",0.9375221717,0.9232998490333557
