id,split,path,duration_sec,text,sampling_rate_hint,ALDi,ALDi_bin
1bbc72f2-ed56-444b-9fea-7d7aee39c450,mediaspeech,../data/mediaspeech_ar/AR/1bbc72f2-ed56-444b-9fea-7d7aee39c450.flac,,الدوليه بجامعه واشنطن شكرا جزيلا نهايه الجزء التلفزيوني من نقطه حوار استمروا في الادلاء بالراي اونلاين لكن الحديث يتواصل علي راديو بي بي سي معي انا محمد عبدالحميد بشكل مباشر بعد قليل,,0.017984,low
0e92276f-20ac-44d4-a4ab-034156c3080c,mediaspeech,../data/mediaspeech_ar/AR/0e92276f-20ac-44d4-a4ab-034156c3080c.flac,,مساله اخري يعني ضروري انه واحد يذكرها نحن نواجه تحديات كبيره قد تكون الاصعب علي العصر او او التاريخ المعاصر بالنسبه لليمنيين وهو شيء ولما حضرتك تسميهم الاخوان وبعدين,,0.246833,low
d751a6a1-1362-408b-9079-1090fa478186,mediaspeech,../data/mediaspeech_ar/AR/d751a6a1-1362-408b-9079-1090fa478186.flac,,لف الشرائح الاجتماعيه فهي تشهد و تلاحظ هذه العنصريه الهيكليه و التحرش الهيكلي و هذه هي المساله التي تعتبر الدافع الاساسي لهذه الاحتجاجات,,-0.003591,low
15de5fc3-cb6a-477c-8d86-74ed26ea9cf3,mediaspeech,../data/mediaspeech_ar/AR/15de5fc3-cb6a-477c-8d86-74ed26ea9cf3.flac,,وهي خمسين بالمائه من المصفوفه تعيين المحافظ لم يقم الانتقال باي شيء مما عمل و هذا واضح و بما قامت الحكومه من جانبها معالي الوزير لان بصراحه كل ما يخشاه المتابعون للشان اليمني ان تتحول عدن الي صنعاء جديده,,0.004319,low
42682233-3e5f-4166-840d-4fcddad4bb1f,mediaspeech,../data/mediaspeech_ar/AR/42682233-3e5f-4166-840d-4fcddad4bb1f.flac,,لكن في نفس الوقت هل القطاعات ما قادره عليهم تحمي البلد لا بالعكس قطاعاتنا قادره و عندها القدره و عندها القابليه بان تحمي العراق و تحافظ علي سيادته و تحافظ علي كرامه المواطن,,0.373121,mid
33190658-6a77-4cf7-9cf5-5609ba8de065,mediaspeech,../data/mediaspeech_ar/AR/33190658-6a77-4cf7-9cf5-5609ba8de065.flac,,اليوم انا قلت لك انه معركتنا هي معركه الاستخبارات يجب ان نركز علي الجهد الاستخباراتي علي ذكر الاستخبارات لاحظنا في الاونه الاخيره يعني اصطياد رؤوس تابعه لتنظيم نعم داعش,,0.030173,low
aa882652-7225-4441-ac7e-4542aedb6ca1,mediaspeech,../data/mediaspeech_ar/AR/aa882652-7225-4441-ac7e-4542aedb6ca1.flac,,موسكو استمرار التنسيق مع انقره من اجل ارساء حل و وقف لاطلاق النار و رسم درب العوده الي المفاوضات الليبيه انطلاقا من مخرجات برلين الحل الليبي من البوابه,,-0.005804,low
56eeb046-dadb-4401-a759-db24aa8c0ed3,mediaspeech,../data/mediaspeech_ar/AR/56eeb046-dadb-4401-a759-db24aa8c0ed3.flac,,هناك محاوله لتخفيويف المتظاهرين كان هناك شائعات اطلقت طيب قبل اسبوع بان طيب التظاهرات ساعود اليك ساعود اليك دعني دع,,0.034948,low
46d04763-4cde-4d5c-956a-1ce18bdefae1,mediaspeech,../data/mediaspeech_ar/AR/46d04763-4cde-4d5c-956a-1ce18bdefae1.flac,,المغزي من ذلك واحنا النهارده كلنا شايفين احنا اصلا مفروض ان المؤسسه التشريع ومستسقي الرقابه اللي هو البرلمان هو المدافع الاول علي الحكومه وايضا هو الذي يضع السياسه العامه للدوله,,0.540959,mid
2af94157-5f91-4fc2-bb88-6665b50dcd01,mediaspeech,../data/mediaspeech_ar/AR/2af94157-5f91-4fc2-bb88-6665b50dcd01.flac,,استمر وهذا ما حصل واليوم ا اذا كان هناك هدنه فهي هشه لان المصالح العسكريه والسياسيه لا زالت مستمره لم يتم التوافق عليها وبالتالي تركيا اا لديها اولا وهم النصر,,0.033794,low
b7fcac46-d14e-44f8-9adf-79ec0a3cbdd6,mediaspeech,../data/mediaspeech_ar/AR/b7fcac46-d14e-44f8-9adf-79ec0a3cbdd6.flac,,حياكم الله مشاهدينا الكرام قال مؤتمر المانحين الدوليين لليمن الذي تستضيفه الامم المتحده والسعوديه ان اليمن علي حافه الهاويه وان كل المؤشرات تفيد بسرعه انتشار فيروس كورونا المستجد في,,0.003859,low
e16b0521-d90f-4b10-8152-00568f6279b4,mediaspeech,../data/mediaspeech_ar/AR/e16b0521-d90f-4b10-8152-00568f6279b4.flac,,حرب انتم لا زلتم تخوضون هذه الحرب البعض وصفها بالمعارك الجانبيه وهي معارك تخرج عن اطار المعارك المرسومه من قبل قياده التحالف العربي هل هذه المعارك ستثنيكم عن,,-0.004942,low
4020842e-4ec5-428a-8f4f-5c740774ffbc,mediaspeech,../data/mediaspeech_ar/AR/4020842e-4ec5-428a-8f4f-5c740774ffbc.flac,,تقنيه صحيح كل الدول لا يمكن ان تاتي باولوياتها جميعها وتطرحها خارجا بحجه ان اننا الان في تقشف وانما هنالك ترتيب لبعض الاولويات لكن دا,,0.070124,low
1b6ca648-5be8-461f-9fb9-29e7ae3e0292,mediaspeech,../data/mediaspeech_ar/AR/1b6ca648-5be8-461f-9fb9-29e7ae3e0292.flac,,لم تتصالح مع نفسها حتي اليوم لازلنا عنصريين حتي الانظمه التي نراها تواجه العنصريه اغلبها تتعاطي في محاربه العنصريه تعاطيا نظريا تحكمها,,0.023933,low
7b563d94-632f-4c58-b866-6ead65c2f514,mediaspeech,../data/mediaspeech_ar/AR/7b563d94-632f-4c58-b866-6ead65c2f514.flac,,ولا نتكلم بعد عن مراحل عن جائحه كرونا ونتائجها لكن نحن امام مرحله كبيره اما هذه المرحله تكون الولايات المتحده الامريكيه تفرض شروطها علي المنطقه او بدات بالتراجع من المنطقه هي امام مرحلتين,,0.172134,low
33e02095-b34c-4867-b367-ed8655de79f2,mediaspeech,../data/mediaspeech_ar/AR/33e02095-b34c-4867-b367-ed8655de79f2.flac,,الجماعات الارهابيه تغيير المعطي الاستراتيجي للنظام الايراني كل ذلك وهذا الامر غير متاح حتي بالنسبه لايران لذلك لا اعتقد ان هنالك امكانيه للوصول الي نتيجه في فتره وجيزه اصلا فلنتذكر بان المفاوضات ما بين الولايات,,-0.004577,low
66c6e2e8-0160-453c-9212-9f96daea5890,mediaspeech,../data/mediaspeech_ar/AR/66c6e2e8-0160-453c-9212-9f96daea5890.flac,,خلق توازن داخل البيت الليبي هذا التوازن يقود الي استقرار سياسي ويصنع مؤسسات سلطه ومؤسسات تشريعيه ومؤسسات سلطه تنفيذيه ويقود الي,,-0.005491,low
4e52454e-f25e-43fc-b8d2-6072ac73169d,mediaspeech,../data/mediaspeech_ar/AR/4e52454e-f25e-43fc-b8d2-6072ac73169d.flac,,اقسي من السابقه ما الذي يسعي المشرعون الجمهوريون اي الاتيان به من جديد في هذه التشريعات التي يسعون الي اقرارها في الكونجرس اا هو طبعا,,0.001474,low
12078071-52e1-42b8-ad9c-ba3a7f7fdecb,mediaspeech,../data/mediaspeech_ar/AR/12078071-52e1-42b8-ad9c-ba3a7f7fdecb.flac,,للمنظومه القانونيه لتويتر ذاتها ولدي انا مستندات قانونيه كيف ان بعض الاشخاص قاموا بالقذف والتشهير ضد اشخاص معينين وقاموا بتقديم شكوي و ازالت,,-0.000932,low
feebb831-5aaa-4bf7-a240-3782124d1427,mediaspeech,../data/mediaspeech_ar/AR/feebb831-5aaa-4bf7-a240-3782124d1427.flac,,النهضه التكنولوجيا اللي موجوده في الفتره اللي فاتت خلت انه مساله تقييم العميل او انه علاقه العميل الوثيقه بنا عن طريق التقييمات الفوريه بعد كل عمليه بقت هي دي,,0.683769,high
e212b416-dfc4-4c18-8525-6195c6f39108,mediaspeech,../data/mediaspeech_ar/AR/e212b416-dfc4-4c18-8525-6195c6f39108.flac,,اتصال مع ال مع حكم ال مع غرفه فيديو لكن للاسف الحكم لم يعلن عن وجود ركله جزاء علي الرغم هناك اعثار وهناك وهناك يعني تريبينج اللي هو ضرب القدمين اعتقد نعم نعم من الخلف وبالتالي,,0.166874,low
